Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,0,0,0,0,238,3909,9585,37833,45343,26482,7562,5190,136142
1999,2009,2281,2207,1329,2764,4037,10596,53303,49229,34100,11692,5484,179031
2000,3703,3367,5159,1930,3162,6525,5312,27047,31381,30993,9731,5031,133341
2001,5778,5800,8385,4231,3284,9111,9657,43312,47601,35499,17452,8583,198693
2002,10147,7039,7074,4065,4604,12208,26933,103000,130251,81992,51386,23533,462232
2003,21971,19587,26093,15516,13638,23158,52808,101357,142369,79389,47931,28920,572737
2004,18272,19814,25192,10105,10922,26233,45463,101071,180565,75953,52550,35426,601566
2005,15613,14379,23976,10440,9394,11866,46593,137754,144255,82999,39801,20763,557833
2006,11932,14400,14034,10523,13570,11804,32905,100650,117939,44087,36532,19554,427930
2007,13305,25415,16183,8816,10210,21067,40385,135464,198168,88171,40333,17459,614976
2008,10261,11538,16979,13815,11089,11730,32479,64865,92770,70151,40483,22636,398796
2009,11253,9670,12289,15025,9035,9789,16574,49511,58215,52480,41052,18893,303786
2010,16333,13921,15319,8675,8059,15759,34598,149158,151929,56639,37113,16006,523509
2011,9147,7419,8311,6278,6482,9972,19939,52771,91954,37786,27915,20016,297990
2012,12680,12626,12798,5924,7263,11318,26866,72666,91305,54548,25113,14589,347696
2013,13650,12415,14807,9716,6453,7617,18135,44803,64477,33961,20263,17970,264267
2014,13306,13699,14876,8245,5699,8245,14874,55877,55526,51737,22809,15903,280796
2015,10730,11272,13221,9416,7776,10012,16862,53022,84221,61312,32150,22438,332432
2016,18264,11977,18524,9010,5686,12173,35233,71559,70030,42383,27639,14568,337046
2017,13329,10336,9921,9000,4301,9165,34828,59723,96707,49489,27868,19150,343817
2018,11163,17989,18154,9520,7699,10021,23231,50533,67350,27289,17230,11591,271770
2019,12457,17884,19562,13111,6163,11408,22537,88084,90270,40319,27715,12454,361964
2020,12798,20318,31529,23139,15070,14590,31599,91180,105768,71772,28886,12299,458948
2021,8438,10614,11960,8666,9609,11473,32519,82775,73427,46005,17557,12291,325334
2022,25982,19987,10924,3743,11550,13888,23679,66139,93385,45079,33183,15379,362918
2023,11648,16419,16442,8981,10234,13294,23516,49308,68935,63117,43396,18846,344136
2024,20073,21151,25576,12821,11623,21594,42470,114298,139490,54521,30500,17539,511656
2025,15567,12076,15377,8400,7212,8570,20331,33873,42994,40821,27144,17886,250251
2026,11712,13498,14733,9157,6475,0,0,0,0,0,0,0,55575
